Bank,Year,Month,Media Category,dollars
PNC Bank,2023,December 2023,Outdoor,5625
PNC Bank,2023,December 2023,Print,83105
PNC Bank,2023,December 2023,Television,1571844
PNC Bank,2023,February 2023,Audio,56356
PNC Bank,2023,February 2023,Digital,156865
PNC Bank,2023,February 2023,Print,13060
PNC Bank,2023,February 2023,Television,50359
PNC Bank,2023,July 2023,Audio,52857
PNC Bank,2023,July 2023,Digital,2049366
PNC Bank,2023,July 2023,Outdoor,1399403
PNC Bank,2023,July 2023,Print,5250
PNC Bank,2023,July 2023,Television,5128114
PNC Bank,2023,June 2023,Audio,48652
PNC Bank,2023,June 2023,Digital,1033931
PNC Bank,2023,June 2023,Outdoor,1290646
PNC Bank,2023,June 2023,Print,5250
PNC Bank,2023,June 2023,Television,3659683
PNC Bank,2023,March 2023,Audio,44746
PNC Bank,2023,March 2023,Digital,184363
PNC Bank,2023,March 2023,Outdoor,5304
PNC Bank,2023,March 2023,Print,8199
PNC Bank,2023,March 2023,Television,1856
PNC Bank,2023,May 2023,Audio,65791
PNC Bank,2023,May 2023,Digital,1295755
PNC Bank,2023,May 2023,Outdoor,852485
PNC Bank,2023,May 2023,Print,7174
PNC Bank,2023,May 2023,Television,6788003
PNC Bank,2023,November 2023,Audio,94576
PNC Bank,2023,November 2023,Digital,482476
PNC Bank,2023,November 2023,Outdoor,5625
PNC Bank,2023,November 2023,Print,12171
PNC Bank,2023,November 2023,Television,1234825
PNC Bank,2023,October 2023,Audio,247452
PNC Bank,2023,October 2023,Digital,372565
PNC Bank,2023,October 2023,Outdoor,144891
PNC Bank,2023,October 2023,Print,12291
PNC Bank,2023,October 2023,Television,353839
PNC Bank,2023,September 2023,Audio,392793
PNC Bank,2023,September 2023,Digital,812520
PNC Bank,2023,September 2023,Outdoor,380383
PNC Bank,2023,September 2023,Print,22950
PNC Bank,2023,September 2023,Television,6188418
PNC Bank,2025,March 2025,Audio,0
PNC Bank,2025,March 2025,Digital,251538
PNC Bank,2025,March 2025,Television,3822105
TD Bank,2023,April 2023,Audio,195
